"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","POWER [kW]","POWER* [kVA]","POWER-FACTOR []","LIGHTS [A]","MICROWAVE [A]","KITCHEN1 [A]","DRYER [A]","HEATING1 [A]","RANGE2 [A]","BATHROOM [A]","WASHER [A]","AC [A]","DISHWASHER [A]","MAINS1 [A]","MAINS2 [A]"
2019-12-06 15:42:00,-0.165766667,-0.000000000,122.444872482,123.323539191,-0.165766667,0.242883333,0.682516699,0.666266698,0.147616674,0.945716712,0.150933341,0.146183340,0.177100008,0.143550007,0.144183340,0.146750007,0.142966673,0.882816709,1.094383385
2019-12-06 15:41:00,-0.165350000,-0.000000000,122.291505809,123.336522525,-0.165350000,0.242616667,0.681600032,0.663750032,0.146583340,0.948233378,0.151150007,0.146683340,0.177266675,0.143350007,0.142733340,0.146600007,0.140166673,0.879050042,1.097333385
2019-12-06 15:40:00,-0.165433333,-0.000000000,122.360255812,123.330739191,-0.165433333,0.242233333,0.683000032,0.664383365,0.147233340,0.949116712,0.149966674,0.147783340,0.176766675,0.143633340,0.144450007,0.147166674,0.142200007,0.877700042,1.095233385
2019-12-06 15:39:00,-0.171166667,-0.000000000,122.409755814,123.225239186,-0.171166667,0.246900000,0.693150033,0.666016698,0.147016674,0.993900047,0.151116674,0.147016674,0.177200008,0.143233340,0.142850007,0.146533340,0.141650007,0.878550042,1.132516720
2019-12-06 15:38:00,-0.130700000,-0.000000000,122.317889143,123.156239183,-0.130700000,0.236216667,0.507150024,0.667866698,0.147283340,0.770033370,0.150100007,0.145800007,0.177600008,0.140716673,0.143316673,0.145383340,0.142950007,0.878100042,1.047700050
2019-12-06 15:37:00,-0.056333333,-0.000000000,122.376872479,123.201805852,-0.056333333,0.179300000,0.314233348,0.666266698,0.149383340,0.149583340,0.152366674,0.146366674,0.178166675,0.141800007,0.143916674,0.145083340,0.140600007,0.880883375,0.578266694
2019-12-06 15:36:00,-0.056566667,-0.000000000,122.549222487,123.196422518,-0.056566667,0.178316667,0.317300015,0.666516698,0.147650007,0.150516674,0.150966674,0.146216674,0.177633342,0.141333340,0.144316674,0.146033340,0.142350007,0.874300042,0.576166694
2019-12-06 15:35:00,-0.056150000,-0.000000000,122.391572480,123.185672518,-0.056150000,0.178266667,0.315083348,0.665700032,0.147233340,0.148700007,0.150383340,0.145866674,0.177216675,0.143283340,0.144266674,0.145666674,0.140783340,0.877100042,0.573850027
2019-12-06 15:34:00,-0.056416667,-0.000000000,122.361389145,123.178789184,-0.056416667,0.178733333,0.315766682,0.664666698,0.147866674,0.149133340,0.152083341,0.146166674,0.178216675,0.141583340,0.143916674,0.147533340,0.142466673,0.879866708,0.574800027
2019-12-06 15:33:00,-0.056116667,-0.000000000,122.563055821,123.235505853,-0.056116667,0.179133333,0.313283348,0.664400032,0.147116674,0.149750007,0.150666674,0.147300007,0.178383342,0.143750007,0.145933340,0.145983340,0.141716673,0.878266708,0.578416694
2019-12-06 15:32:00,-0.056616667,-0.000000000,122.420972481,123.180389184,-0.056616667,0.180216667,0.314216682,0.665050032,0.147100007,0.148400007,0.151783341,0.147316674,0.176566675,0.142866673,0.143983340,0.146116674,0.140566673,0.882316709,0.584416694
2019-12-06 15:31:00,-0.056566667,-0.000000000,122.460922483,123.215972519,-0.056566667,0.179166667,0.315900015,0.664733365,0.148233340,0.148850007,0.151200007,0.146633340,0.177100008,0.140633340,0.143650007,0.145133340,0.141350007,0.880416708,0.577233361
2019-12-06 15:30:00,-0.056716667,-0.000000000,122.510789152,123.126622515,-0.056716667,0.178466667,0.317933348,0.665533365,0.147183340,0.149366674,0.150216674,0.146050007,0.176616675,0.141800007,0.143933340,0.145633340,0.141183340,0.876816708,0.575500027
2019-12-06 15:29:00,-0.056450000,-0.000000000,122.448339149,123.165222517,-0.056450000,0.179783333,0.314083348,0.665566698,0.147566674,0.149450007,0.150116674,0.144733340,0.177900008,0.141516673,0.144033340,0.146733340,0.142083340,0.882533375,0.580683361
2019-12-06 15:28:00,-0.056833333,-0.000000000,122.382972480,123.264955855,-0.056833333,0.179200000,0.317233348,0.666383365,0.146233340,0.149883340,0.149566674,0.147200007,0.177433342,0.144116674,0.145600007,0.146883340,0.141133340,0.880700042,0.577050027
2019-12-06 15:27:00,-0.056150000,-0.000000000,122.453622483,123.239372520,-0.056150000,0.178000000,0.315533348,0.664233365,0.146933340,0.147550007,0.151283341,0.146083340,0.178350008,0.143616673,0.144733340,0.147433340,0.141216673,0.872833375,0.575233361
2019-12-06 15:26:00,-0.056166667,-0.000000000,122.433555815,122.817822500,-0.056166667,0.178233333,0.315300015,0.663616698,0.146716674,0.149733340,0.151883341,0.147166674,0.177850008,0.142966673,0.144300007,0.146383340,0.140833340,0.875633375,0.577450027
2019-12-06 15:25:00,-0.056383333,-0.000000000,122.482639151,123.125172515,-0.056383333,0.178650000,0.315766682,0.665016698,0.148183340,0.150000007,0.151166674,0.145383340,0.177616675,0.142483340,0.143900007,0.145200007,0.141083340,0.876150042,0.577816694
2019-12-06 15:24:00,-0.056400000,-0.000000000,122.478222484,123.253189188,-0.056400000,0.179250000,0.314800015,0.666216698,0.145583340,0.149666674,0.149700007,0.146700007,0.176450008,0.142533340,0.145850007,0.145583340,0.141166673,0.877333375,0.580533361
2019-12-06 15:23:00,-0.056600000,-0.000000000,122.526189153,123.090622513,-0.056600000,0.178450000,0.317250015,0.665150032,0.145950007,0.149616674,0.152366674,0.148316674,0.178050008,0.141933340,0.145000007,0.146383340,0.142600007,0.877316708,0.575116694
